Área,Reason,Etiqueta problemática,Detalle,URL,Output esperado,Texto 1,Output1,Solución,Created Date
,Nuevo agenteResiduos y Medio Ambiente GAyPombo,,,https://doe.juntaex.es/pdfs/doe/2025/1340o/25040123.pdf,{},,,"Softlaw era el probelma, he añadido que no meitera proyectos con impacto en la definición y listo!",14 de julio de 2025 19:38
,Nuevo agenteResiduos y Medio Ambiente GAyPombo,,,https://sede.asturias.es/bopa/2025/07/14/2025-05800.pdf,{},,,"Softlaw era el probelma, he añadido que no meitera proyectos con impacto en la definición y listo!",14 de julio de 2025 19:39
Ruido: Residuos / Personalizacion/ Geografia,Nuevo agenteResiduos y Medio Ambiente GAyPombo,,,https://sede.asturias.es/bopa/2025/07/14/2025-05803.pdf,{},,,"Softlaw era el probelma, he añadido que no meitera proyectos con impacto en la definición y listo!",14 de julio de 2025 19:39
,"Definicion: PreZero España, operador líder de economía circular especializado en la valorización de residuos. Harmon asesora a PreZero y necesita alertas inmediatas sobre cambios que afecten la recogida, transporte, tratamiento y trazabilidad de residuos urbanos, industriales y suelos contaminados. El agente rastrea BOE, DOUE y los 17 boletines autonómicos; detecta leyes, RD y órdenes sobre clasificación, RAP de envases, SDDR, tasas de vertido, objetivos de reciclaje y contratos de limpieza, enviando alertas de licencias, requisitos técnicos y ayudas integrables en la plataforma de PreZero.",,,https://sede.asturias.es/bopa/2025/07/14/2025-05798.pdf,"{
""Residuos urbanos e industriales — PreZero"": {
""explicacion"": ""El anuncio publica la aprobación inicial de la modificación de la ordenanza fiscal reguladora de la tasa por recogida de basuras del Ayuntamiento de Tineo, cambiando tarifas y procedimientos de facturación que afectan directamente a la gestión y valorización de residuos urbanos e industriales por parte de PreZero."",
""nivel_impacto"": ""Medio""
},
""Novedades normativas en residuos - Harmon"": {
""explicacion"": ""Se introduce una modificación de la ordenanza fiscal de tasa de recogida de basuras en un boletín autonómico, generando nuevas obligaciones tarifarias y plazos de reclamación que Harmon debe monitorizar para asesorar sobre adaptación a la normativa local de residuos."",
""nivel_impacto"": ""Medio""
},
""Residuos y Medio Ambiente GAyPombo"": {
""explicacion"": ""La ordenanza fiscal de tasa por recogida de basuras es una norma municipal vinculante que actualiza las obligaciones tarifarias en materia de residuos, encajando con el ámbito de obligaciones y tarifas previstas en esta etiqueta."",
""nivel_impacto"": ""Medio""
}
}",,,"Añadir frase: Incluye normativa local relevante, como la modificación de tasas de recogida de basuras",14 de julio de 2025 20:19
,"Nuevo: Etiqueta: Employment & PRL GAyPombo

Definicion: Gómez-Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical. Cobertura: BOE, DOUE, INSST, DGOSS, boletines autonómicos. No incluye: convenios colectivos (estatales, autonómicos o de empresa), informes técnicos sin valor normativo, resoluciones judiciales aisladas",,"En el playground no la coge (10/10), en la realidad la ha cogido para gomez acebo y pombo",http://url1345.reversa.ai/ls/click?upn=u001.uIZxI6Kz9k-2FutGlp1abH4ZmkFYsKyzVSGCzyb7P6tq1nwq8d3pmQgk-2F1A6UzDlbAdz6rU7ec7-2BUZgEDmMiP4x7r9nAN-2FvuMyfiuJ95qmzDk-3DRBhn_s5xsKn6BJaGo0DpToLMh9rA-2B5Uj-2BiCMyt8EvsaEVtitIAw3klH8rSLlFn1nPKP7WHp-2FQFGDGyuSx4qr4pKQ5fAcWAfDu6gxuHox7qFQE5hmK-2FbBPSxHhF-2BxtsYSCFQQzqTf9RknoBTCQYiIoKj-2FRlgpfelmzE6wOc95wQtF-2BmEWz2iOT-2FRNLljuE-2B7bcFdGJRHkZBxC6hqwTLWaFFEiTUA-3D-3D,{},,,"No incluyas temas sobre funcionarios, he añadido para asegurar.",15 de julio de 2025 19:06
,"Etiqueta: Residuos y Medio Ambiente GAyPombo

Definicion: Gómez-Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta nuevas normas, actualizaciones y documentos vinculantes sobre residuos, economía circular, vertederos, envases y responsabilidad ampliada del productor. Incluye proyectos en consulta y softlaw (esta última, no incluye informes de proyectos). Cobertura: BOE, DOUE, boletines autonómicos y publicaciones oficiales (MITECO, comunidades autónomas y ayuntamientos), incluso cuando no figuren en fuentes agregadas. Incluye: leyes, reales decretos, decretos autonómicos, órdenes y ordenanzas definitivas que introduzcan obligaciones o tarifas. No incluye: planes estratégicos, subvenciones y ayudas, programas o convenios sin fuerza normativa, informes de impacto ambiental, resoluciones judiciales aisladas.",,"En el playground no la coge (10/10), en la realidad la ha cogido para gomez acebo y pombo.

Ademoas tenia otra cuenta que no los ha selecionado y la única diferencia ha sido esto: a única diferencia real es que la segunda versión tiene dos puntos finales al acabar la frase:""...(esta última, no incluye informes de proyectos)..""
Esa segunda puntuación es un error tipográfico.
Por lo demás, los textos son idénticos.
Si quieres, te puedo revisar estilo o proponer una redacción alternativa.",https://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=1403642121010,{},,,No incluyas proyectos particulares nunca,15 de julio de 2025 19:14
,Lo mismo,,"En el playground no la coge (10/10), en la realidad la ha cogido para gomez acebo y pombo.

Ademoas tenia otra cuenta que no los ha selecionado y la única diferencia ha sido esto: a única diferencia real es que la segunda versión tiene dos puntos finales al acabar la frase:""...(esta última, no incluye informes de proyectos)..""
Esa segunda puntuación es un error tipográfico.
Por lo demás, los textos son idénticos.
Si quieres, te puedo revisar estilo o proponer una redacción alternativa.",http://url1345.reversa.ai/ls/click?upn=u001.uIZxI6Kz9k-2FutGlp1abH4f-2FDs-2F8JjR55YohbYgIviDivDYPWNTV2KoMpCPGD3L-2Bf99LAnGmmI4OJPu3gfS9aTne5ECzZcPqN1odggzTXIVS31bsMCzyrwJ0C6OXvzlXxn8Jg_s5xsKn6BJaGo0DpToLMh9rA-2B5Uj-2BiCMyt8EvsaEVtitIAw3klH8rSLlFn1nPKP7WCpCpyzK4-2ByIq3z1Q3f1X76pgYk-2F-2FJI8i1V-2BKu4HxMxSEs6gzUcYtlOKX5zNa83G1GML2ouUnxcvPHTprFOjZQJi-2Bpeej0YkF76CZudEBdANpqTOl57wv3-2F7VlImtoMd935n8lYRxxIlqQFrna2kgwQ-3D-3D,{},,,Lo mismo,15 de julio de 2025 19:22
,,"Agente de Subvenciones, Becas y Ayudas
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente identifica convocatorias abiertas dirigidas a profesionales jurídicos o sus clientes, incluyendo becas, premios, subvenciones y ayudas de interés. No incluye convocatorias cerradas, premios simbólicos ni ayudas sin valor económico o sin base jurídica publicada. Debe analizar el BOE (Sección III) y el BOCM para extraer convocatorias con base normativa publicadas por organismos públicos y ofrecer síntesis con plazos, beneficiarios y requisitos clave.",No quuiro sentencias en sibvenciones aunque sea una sentencia relevante,https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14699.pdf,{},,,,16 de julio de 2025 19:24
,,"Agente de Subvenciones, Becas y Ayudas
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente identifica convocatorias abiertas dirigidas a profesionales jurídicos o sus clientes, incluyendo becas, premios, subvenciones y ayudas de interés. No incluye convocatorias cerradas, premios simbólicos ni ayudas sin valor económico o sin base jurídica publicada. Debe analizar el BOE (Sección III) y el BOCM para extraer convocatorias con base normativa publicadas por organismos públicos y ofrecer síntesis con plazos, beneficiarios y requisitos clave.",Irrelevante?,https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14697.pdf,{},,,,16 de julio de 2025 19:24
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, prieblo dde una denominación de orignen?? En que momento es relavnte para esta etiqueta",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202503944,{},,,,16 de julio de 2025 19:18
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, prieblo dde una denominación de orignen?? En que momento es relavnte para esta etiqueta",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202503939,{},,,,16 de julio de 2025 19:17
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, medidas restricitvas no importan",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504089,{},,,,16 de julio de 2025 19:17
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, medidas restricitvas no importan",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504090,{},,,,16 de julio de 2025 19:16
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, medidas restricitvas no importan",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504086,{},,,,16 de julio de 2025 19:16
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, medidas restricitvas no importan",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504085,{},,,,16 de julio de 2025 19:16
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, medidas restricitvas no importan",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504077,{},,,,16 de julio de 2025 19:15
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",Muy urrelevante,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504003,{},,,,16 de julio de 2025 19:15
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",Muy irrelevante,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202503686,{},,,,16 de julio de 2025 19:14
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Muy irrelevante, conectración notificada",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202504013,{},,,,16 de julio de 2025 19:14
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Irrelevante, las correciones de erroees (10 más…)",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202590593,{},,,,16 de julio de 2025 19:13
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",Irrelevante,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501452,{},,,,16 de julio de 2025 19:13
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Correción de errores irrlevantes, salve muy importantes",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202590591,{},,,,16 de julio de 2025 19:12
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",Irrelevante,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501439,{},,,,16 de julio de 2025 19:12
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501448,{},,,,16 de julio de 2025 19:12
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",Relevante?,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501391,{},,,,16 de julio de 2025 19:11
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501386,{},,,,16 de julio de 2025 19:11
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.","Poner textualment euq eno los emta, y lo mete",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501184,{},,,,16 de julio de 2025 19:10
Ruido: Europeo,,"Agente Normativo Comunitario (UE)
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre la normativa de la Unión Europea que genera efectos jurídicos en España en sectores como competencia, protección de datos, medioambiente, energía o consumo. No incluye comunicaciones, dictámenes ni reglamentos de ejecución o delegados sin efecto sustantivo. Debe analizar el DOUE (serie L) para detectar reglamentos, directivas y decisiones del Consejo o Comisión con impacto jurídico directo o transposición obligatoria.",Relevante?,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501390,{},,,,16 de julio de 2025 19:09
Ruido: Extranjería,,"Agente Normativo Extranjería
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente es útil para quienes asesoran en materia de residencia, visados, movilidad internacional, protección internacional o nacionalidad. No incluye listados administrativos, resoluciones de expedientes ni actos sin valor normativo. Debe analizar el BOE (Secciones I y III) y el DOUE (serie L) para identificar normas que alteren requisitos o procedimientos en extranjería y migraciones.","Irrelevante e incosistente, proque habían salido otrras iguales que no las han cogido",https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:L_202501435,{},,,,16 de julio de 2025 19:06
Ruido: Penal,,"Agente Normativo Penal
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre los cambios normativos que afectan a delitos, penas, responsabilidad penal o ejecución penal. No incluye medidas de gracia, indultos individuales ni textos sin implicación penal sustantiva o procesal. Debe analizar el BOE (Secciones I y III) para identificar leyes, reglamentos u órdenes que modifiquen el Código Penal, la LECrim o normativa penitenciaria.",Irrelevante,https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14765.pdf,{},,,,16 de julio de 2025 19:05
Ruido:Tributario,,"Agente Normativo Tributario
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre las necesidades de fiscalistas que deben identificar cambios normativos sobre IRPF, IVA, IS, tributos autonómicos o régimen sancionador. No incluye instrucciones internas, ni consultas de NIF, consultas, ni normas sin efecto en la relación tributaria. Debe analizar el BOE (Secciones I y III), el BOCM y el DOUE (serie L) para captar normas que modifiquen obligaciones fiscales, bases imponibles, procedimientos o sujetos pasivos.",No es relavnte el la habilitación del nif,https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14764.pdf,{},,,,16 de julio de 2025 19:03
Ruido:Tributario,,"Agente Normativo Tributario
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre las necesidades de fiscalistas que deben identificar cambios normativos sobre IRPF, IVA, IS, tributos autonómicos o régimen sancionador. No incluye instrucciones internas, ni consultas de NIF, consultas, ni normas sin efecto en la relación tributaria. Debe analizar el BOE (Secciones I y III), el BOCM y el DOUE (serie L) para captar normas que modifiquen obligaciones fiscales, bases imponibles, procedimientos o sujetos pasivos.",No es relavnte el la habilitación del nif,https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14763.pdf,{},,,,16 de julio de 2025 18:57
Ruido:Administatrivo,,"Agente Normativo Administrativo
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre las necesidades de profesionales que asesoran o litigan en procedimientos administrativos, contratación pública, urbanismo, función pública o sanciones. No incluye resoluciones individuales, anuncios, disposiciones simbólicas ni normas sin efecto práctico. Debe analizar el BOE (principalmente Secciones I y III), el BOCM (disposiciones generales) y el DOUE (serie L) para identificar normas que introduzcan o modifiquen disposiciones aplicables al Derecho Administrativo.",No es derehco administrativo esta ayudas,https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14782.pdf,{},,,"Propuesta: Claro, aquí tienes una versión de menos de 1000 caracteres:
Agente Normativo Administrativo – Versión Revisada

Detecta normas generales que impacten en Derecho Administrativo: procedimiento, contratación pública, urbanismo, función pública o sanciones.

Incluye solo leyes, reales decretos, decretos legislativos o reglamentos. Órdenes ministeriales solo si desarrollan normas superiores y afectan claramente a las materias anteriores.

Fuentes: BOE (Secc. I y III), BOCM (Disposiciones Generales), DOUE (Serie L).
Excluir siempre: resoluciones individuales, anuncios, licitaciones, ayudas o subvenciones concretas, garantías, actos simbólicos o sin efecto práctico.

⚠️ Criterio: solo normas de aplicación general que creen, modifiquen o regulen derechos, obligaciones o procedimientos.",16 de julio de 2025 18:56
Ruido:Administatrivo,,"Agente Normativo Administrativo
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre las necesidades de profesionales que asesoran o litigan en procedimientos administrativos, contratación pública, urbanismo, función pública o sanciones. No incluye resoluciones individuales, anuncios, disposiciones simbólicas ni normas sin efecto práctico. Debe analizar el BOE (principalmente Secciones I y III), el BOCM (disposiciones generales) y el DOUE (serie L) para identificar normas que introduzcan o modifiquen disposiciones aplicables al Derecho Administrativo.","No es relavante, es un subasta de lotes irrelavntes",https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14775.pdf,{},,,,16 de julio de 2025 18:55
Ruido:Administatrivo,,"Agente Normativo Administrativo
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre las necesidades de profesionales que asesoran o litigan en procedimientos administrativos, contratación pública, urbanismo, función pública o sanciones. No incluye resoluciones individuales, anuncios, disposiciones simbólicas ni normas sin efecto práctico. Debe analizar el BOE (principalmente Secciones I y III), el BOCM (disposiciones generales) y el DOUE (serie L) para identificar normas que introduzcan o modifiquen disposiciones aplicables al Derecho Administrativo.","No es relavante, es un subasta de lotes irrelavntes",https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14774.pdf,{},,,,16 de julio de 2025 18:55
Ruido:Administatrivo,,"Agente Normativo Administrativo
El ICAM (Ilustre Colegio de la Abogacía de Madrid) agrupa y representa a los abogados y abogadas de Madrid, ofreciéndoles formación, servicios y defensa institucional de la profesión. Este agente cubre las necesidades de profesionales que asesoran o litigan en procedimientos administrativos, contratación pública, urbanismo, función pública o sanciones. No incluye resoluciones individuales, anuncios, disposiciones simbólicas ni normas sin efecto práctico. Debe analizar el BOE (principalmente Secciones I y III), el BOCM (disposiciones generales) y el DOUE (serie L) para identificar normas que introduzcan o modifiquen disposiciones aplicables al Derecho Administrativo.","No es relavante, es una garantía para presar cuadros",https://www.boe.es/boe/dias/2025/07/16/pdfs/BOE-A-2025-14771.pdf,{},,,,16 de julio de 2025 18:54
